formula,image
"S _ { p , m } = \prod _ { A < B } \prod _ { I < J } ( z _ { I } ^ { A } - z _ { J } ^ { B } ) ^ { K _ { A , B } } \prod _ { A } \prod _ { I < J } ( z _ { I } ^ { A } - z _ { J } ^ { A } ) ^ { K _ { A , A } - 1 }",58e6560c6c.png
"H _ { L C } = \int _ { 0 } ^ { l } \mathcal { H } _ { L C } = \int _ { 0 } ^ { l } d \sigma \, \frac { G _ { + - } } { 2 \, \pi _ { - } } \left( G ^ { i j } \pi _ { i } \pi _ { j } + \frac { 1 } { ( 2 \pi \alpha ^ { \prime } ) ^ { 2 } } G _ { i j } Z ^ { i \, \prime } Z ^ { j \, \prime } \right)",2fdcb5efee.png
"a _ { M } = { \frac { ( - ) ^ { { \frac { 1 } { 2 } } M ( M + 1 ) } } { M ! [ ( M - 1 ) ! \ldots 2 \cdot 1 ] ^ { 2 } } } ~ ~ ,",121b29a34e.png
"{ \cal H } ( p ) = - 2 i \varepsilon ^ { \mu \nu \rho } \varepsilon ^ { \alpha \beta \lambda } g _ { \nu \alpha } \frac { \mu ^ { \epsilon } } { ( 2 \pi ) ^ { d } } \int { \cal D } q \frac { 1 } { ( p + q ) ^ { 2 } q ^ { 2 } } I _ { \beta \mu \lambda \rho } ( q ) \; ,",4b9c24d197.png
"\mathrm { T r } _ { N S - R } = \frac { V _ { 0 } } { 2 \pi } \int \d E \, \sum _ { m = 0 } ^ { N - 1 } \sum _ { w = - \infty } ^ { \infty } \, \cdots .",4a4f93cbe5.png
R _ { \mu \nu } - \frac { 1 } { 2 } R g _ { \mu \nu } = 0,7149ecb438.png
"{ \frac { \alpha } { p ( N ) } } \ \left( { \frac { 1 } { c ( N ) } } - 1 \right) \approx { \frac { 2 A _ { 2 } } { p ( N ) ^ { 2 } } } \, .",7665dff25e.png
"F ( z ) \; = \; F ( 0 ) \, + \, \sum _ { m = 1 } ^ { \infty } \, \left\{ \frac { b _ { m } } { z - a _ { m } } + \frac { b _ { m } } { a _ { m } } \right\} \, + \, \sum _ { m = 1 } ^ { \infty } \, \left\{ \frac { b _ { - m } } { z - a _ { - m } } + \frac { b _ { - m } } { a _ { - m } } \right\} \, .",1eb0468393.png
"\{ Q ^ { \alpha } , \bar { Q } _ { \beta } \} = - i ( \Gamma ^ { a } ) _ { \beta } ^ { \alpha } P _ { a } - i ( \Gamma ^ { a b c d e } ) _ { \beta } ^ { \alpha } Z _ { a b c d e } ,",12cc91e6d0.png
"\frac { \xi } { \sqrt { 1 - \dot { r } ^ { 2 } } } = \sqrt { x _ { 1 } ^ { 2 } + x _ { 2 } ^ { 2 } } - r ( \tau ) ,",3ab85e1c73.png
"\left( A _ { 0 } , A _ { 1 } , \phi , \pi _ { 0 } , \pi _ { 1 } , \pi _ { \phi } \right) \longleftrightarrow \left( \xi _ { 1 } , . . . , \xi _ { 6 } \right) ,",57d8b6dd4a.png
"E ( L ) - E _ { 0 } ( L ) = E _ { R } + E _ { L } + M \operatorname { c o s h } \theta \ ,",2350414e35.png
"v _ { e f f } = \left( { \frac { y _ { i } } { y _ { 0 } } } + 1 \right) ^ { 1 / 3 } e ^ { - n } v _ { i } \, .",c17e9094b3.png
"\Pi _ { \mu \nu \rho \sigma } ^ { r } ( p , q , k ) = \Pi _ { \mu \nu \rho \sigma } ( p , q , k ) - \Pi _ { \mu \nu \rho \sigma } ( p , 0 , 0 )",70eb7647b5.png
"p _ { \nu } ^ { \prime } T _ { \mu \nu } ^ { S \rightarrow A A } = 2 m i [ T _ { \mu } ^ { S \rightarrow A P } ] - 4 m ( k _ { 3 } + k _ { 2 } ) _ { \alpha } \triangle _ { \alpha \mu } - 4 m ( l _ { 3 } + l _ { 2 } ) _ { \alpha } \triangle _ { \alpha \mu } ,",4b79ffccd9.png
"\sum _ { j = 1 } ^ { n } [ I _ { i j } ] _ { \hat { q } } \, m _ { j } = 2 \operatorname { c o s } \pi \left( \vartheta _ { h } + t _ { i } \vartheta _ { H } \right) \, m _ { i } \; , \quad \hat { q } = e ^ { i \pi s \vartheta _ { H } } \; .",1481a60f40.png
"W ^ { a } = \frac { 1 } { I E } \big ( | Z | ^ { 2 } H ^ { a } - A ^ { a } A _ { b } H ^ { b } + | Z | ^ { 2 } T ^ { a b } \! A _ { b } \big ) \, ,",44a2ebab25.png
"\Delta + \bar { \Delta } = \frac { ( m + n k / 4 ) ^ { 2 } } { k } + \frac { ( m - n k / 4 ) ^ { 2 } } { k } \, .",40be12af5f.png
"\Delta _ { a } ^ { \! l i n } = - \int \frac { k ^ { \prime } } { 2 l } \, d l - \frac { 1 } { 2 } V \, .",62fd4fd186.png
"\Sigma _ { - } = a _ { 1 } ( x ) \operatorname { e x p } { ( 3 ( \gamma - 1 ) \tau ) } , ~ ~ \Sigma _ { \times } = a _ { 2 } ( x ) \operatorname { e x p } { ( 3 ( \gamma - 1 ) \tau ) } ,",5b397b1cd0.png
"\left[ \widehat { x } _ { 0 } , \widehat { x } _ { i } \right] = { \frac { i } { \kappa } } \widehat { x } _ { i } \qquad \left[ \widehat { x } _ { i } , \widehat { x } _ { j } \right] = 0",cbd7757104.png
"\begin{array} { l l l l l l } { \displaystyle D } & { = 3 } & { : \quad } & { S p ( 4 ; R ) } & { \to } & { O S p ( N ; 1 | R ) } \\ { \displaystyle D } & { = 4 } & { : \quad } & { S U ( 2 , 2 ) } & { \to } & { S U ( 2 , 2 | N ) } \\ { \displaystyle D } & { = 6 } & { : \quad } & { U _ { \alpha } ( 4 ; H ) } & { \to } & { U U _ { \alpha } ( N ; 4 | R ) } \\ \end{array}",2983f1a42e.png
"\int _ { 0 } ^ { \infty } d k \sqrt { k ^ { 2 } + 4 } \left( \frac { 4 \operatorname { c o s } \rho } { k ^ { 2 } + 4 \operatorname { c o s } ^ { 2 } \rho } - \frac { 4 \operatorname { c o s } \rho } { k ^ { 2 } + 4 } + \frac { 4 c _ { + } } { k ^ { 2 } + 4 c _ { + } ^ { 2 } } - \frac { 4 c _ { + } } { k ^ { 2 } + 4 } \right) ,",6da72deb03.png
\left( 1 + i \gamma \right) ^ { - 1 } \approx \left( 1 - i \gamma \right) .,5a0621bac5.png
{ \cal P } : \quad,68641b1f35.png
"[ \Pi ( { \bf { x } } \sigma ) , \rho ( { \bf { y } } \sigma ^ { ' } ) ] = i \mathrm { ~ } \delta ( { \bf { x } } - { \bf { y } } ) \delta _ { \sigma , \sigma ^ { ' } }",1de2776366.png
"E ^ { ( R ) } = { \frac { n _ { R } } { | G | } } \sum _ { g \in G } \chi ^ { ( R ) } ( g ) U ( g ) ~ ,",cb1a57840a.png
E _ { \small C a s i m i r } ^ { \small b u l k } = { \frac { 1 } { 8 \pi ^ { 2 } } } \; V \; \hbar c \; K ^ { 4 } \; \left[ { \frac { 1 } { n } } - 1 \right] .,707fec2eb3.png
"H _ { 0 } = \int _ { 0 } ^ { \infty } d p \, p [ A ^ { \dag } ( p ) A ( p ) - B ^ { \dag } ( p ) B ( p ) ] .",4fe7cc11b0.png
"\Omega ^ { J } \equiv ( v _ { i } ^ { J } ) ^ { T } \frac { \partial V ( q ) } { \partial q _ { i } } = 0 ,",37b3dd5bd8.png
\partial _ { \mu } < T T R > = ( N _ { c } ^ { 2 } - 1 ) \cdot \left[ \mathrm { \vspace { 2 e x } \mathrm { 1 } \vspace { 0 e x } } \right] + 3 \cdot ( N _ { c } ^ { 2 } - 1 ) \cdot \left[ - \frac { 1 } { 3 } \right] = 0,1f1d28bc77.png
"\frac { \partial g _ { k } } { \partial x _ { j } } = \frac { \partial h _ { k } } { \partial y _ { j } } \, \, \, ; \, \, \, \frac { \partial h _ { k } } { \partial x _ { j } } = - \frac { \partial g _ { k } } { \partial y _ { j } } ,",5999b32439.png
{ \cal D } [ \partial ] : = 1 + { \frac { \partial ^ { 2 } } { \eta ^ { 2 } } } - { \frac { \partial ^ { 4 } } { \gamma ^ { 4 } } } .,13ef0a5f7d.png
"Z _ { 0 } ^ { F } ( T , L ) \equiv \operatorname { e x p } \left( \frac { \pi L T } { 6 } \right) .",7330bec29b.png
"x \mapsto \omega ( \Xi ) ( x ) , \quad \ x \in { \cal O } ,",1ddfa77a15.png
\left. \begin{array} { l } { \rho ( 1 ) = 1 } \\ { \rho ( 2 ) = 2 } \\ { \ldots } \\ { \rho ( p ) = p } \\ \end{array} \right\},532b6d7730.png
"H = 1 + Q _ { 1 } \sum _ { n = - \infty } ^ { \infty } \frac { 1 } { \mid \vec { y } - 2 \pi n a \hat { z } \mid ^ { 6 } } ,",3dddd02569.png
"z ( \varepsilon , \tau ) \; = \; u \: + \: 2 \tau v \: + \: ( 1 - \varepsilon ^ { 2 } ) \: \tau ^ { 2 } \: q ^ { 2 } \: - \: \frac { q ^ { 2 } } { 4 } \; .",4bb7d69576.png
V ( \Phi ) = - m ^ { 2 } \mathrm { T r } [ \Phi ^ { 2 } ] + h ( \mathrm { T r } [ \Phi ^ { 2 } ] ) ^ { 2 } + \lambda \mathrm { T r } [ \Phi ^ { 4 } ] + V _ { 0 },2350b6d78e.png
g \approx 3 - \sqrt 3 - 0 . 9 1 7 7 f _ { 0 } ^ { 2 } \; .,df04b95eb0.png
"\varepsilon ( p ^ { 0 } ) = \theta ( p ^ { 0 } ) - \theta ( - p ^ { 0 } ) = \frac { p ^ { 0 } } { | p ^ { 0 } | } ,",3f0119b21c.png
\tilde { \omega } _ { m a b } = \hat { \omega } _ { m a b } - \frac { i \kappa ^ { 2 } } { 4 } \bar { \psi } _ { c } \gamma ^ { c d } { } _ { m a b } \psi _ { d } .,3ae7d4c8aa.png
s p ^ { \mu } = \eta ^ { \alpha } e _ { \alpha } ^ { \mu } ( P _ { 0 } ),5a6fb6e214.png
"q ^ { ( \frac { L } { 2 } - \frac { r } { N } ) } \sum _ { k = l + 1 } ^ { N } q ^ { - m _ { 0 } } B ^ { ( N ) } ( L , r , l + 1 | k ) = \sum _ { k = l + 1 } ^ { N } B ^ { ( N ) } ( L , r , l | k ) .",20a17f575f.png
"[ \Phi ( x ; a _ { 1 } , . . . , a _ { n } ) ] _ { R } = \Phi ( x ; a _ { 1 } , . . . , a _ { n } ) +",294619977e.png
"Z = { \operatorname* { d e t } } _ { T } ^ { - \frac 1 2 } ( - \Delta ) \times { \operatorname* { d e t } } _ { S } ^ { \frac 1 2 } ( - \Delta ) ,",1d883568bc.png
\Omega ( z ) = \int _ { \c C } d w \rho ( w ) \operatorname { l n } ( z - w ),47cf711405.png
"\mathbf { J } ^ { 2 } = ( \mathbf { J } ^ { 2 } ) ^ { \dagger } = G ( \mathbf { J } ^ { 2 } ) ^ { + } G ,",4695858a93.png
"m ^ { 1 ; 1 ; 9 } , \ m ^ { 1 ; 4 ; 9 } , \ m ^ { 2 ; 6 ; 9 } , \ m ^ { 4 ; 7 ; 9 } , \ m ^ { 7 ; 7 ; 9 } , \ m ^ { 2 ; 3 ; 9 ; 9 } , \dots",4a0cc80e74.png
E _ { \pm } \approx \pm m e ^ { - \frac { \mu ^ { 2 } } { m } \Delta x } .,542bfd32ab.png
"M ( S , R ) _ { n } = \left( \begin{array} { l l } { 1 } & { 0 } \\ { 1 } & { 1 } \\ \end{array} \right) ^ { \otimes ( n - 1 ) } \ ,",6dbd31790b.png
"G _ { \alpha \beta } ( \tau , \tau ^ { \prime } ) = \frac { 1 } { 2 } \int \Sigma _ { \alpha \beta } ( \tau , \lambda ^ { \prime } ) \epsilon ( \lambda ^ { \prime } - \tau ^ { \prime } ) \; d \lambda ^ { \prime }",77fb781660.png
"j ^ { m i } \equiv \frac { \delta I _ { S I } } { \delta v _ { m } ^ { i } } , \quad K ^ { m i } \equiv \frac { \delta I _ { S I } } { \delta A _ { m } ^ { i } } .",607ee9e5c2.png
"[ \hat { x } _ { \mu } , \hat { x } _ { \nu } ] = \frac { i } { \kappa } ( a _ { \mu } \hat { x } _ { \nu } - \hat { x } _ { \mu } a _ { \nu } )",3362c78722.png
"\left\{ Q _ { a } , Q _ { b } \right\} _ { { \footnotesize P B } } = f _ { a b c } Q _ { c } \; ,",4fa16f1d3f.png
"A d j ( S p ( 2 n _ { H } ) ) \to A d j ( U ( k ) ) + A d j ( U ( n _ { H } - k ) ) + 2 ( k , n _ { H } - k )",7a54e991b0.png
"C _ { 0 } ( k , q ) = < k , q | \sum _ { j = 0 } ^ { m - 1 } R ^ { - j } \omega ^ { j s } | \phi > = \sum _ { j = 0 } ^ { m - 1 } ( R ^ { j } | k , q > ) ^ { + } \omega ^ { j s } | \phi > .",50a1f82ae6.png
"G ^ { \dagger } = G , \; \; \; \; \; \; \tilde { G } ^ { \dagger } = \tilde { G }",256f1e5b2a.png
I _ { n } ( x ) = \int _ { 0 } ^ { x } d x _ { n } \int _ { 0 } ^ { x _ { n } } d x _ { n - 1 } \cdots \int _ { 0 } ^ { x _ { 2 } } d x _ { 1 } \cdot 1 = \frac { x ^ { n } } { n ! } .,1c7a4617a5.png
"N ^ { \mu \nu } = L ^ { i } n ^ { [ \mu } { } _ { i } X ^ { \nu ] } { } ^ { \prime } = L ^ { * } \eta _ { 1 } ^ { [ \mu } X ^ { \nu ] } { } ^ { \prime } \, .",1de6b57b0c.png
X ^ { + } = { \frac { * ( 2 { \cal D } X ^ { i } \wedge f ^ { + i } ) } { * ( f ^ { + i } \wedge f ^ { - i } ) } } = { \frac { 1 } { \cal R } } ( { \cal D } _ { - } X ^ { i } f _ { + } ^ { ~ + i } - { \cal D } _ { + } X ^ { i } f _ { - } ^ { ~ + i } ),315201f078.png
R ( b ) = \frac { 4 } { k - 2 } \; \frac { k ( k - 4 ) + k ( k - 2 ) b } { [ k + 2 + ( k - 2 ) b ] ^ { 2 } },4e721cfe49.png
n ! \prod _ { i = 1 } ^ { k } d _ { i } ! { \frac { 1 } { ( n - m ) ! } } .,42c766c6dc.png
"[ R , M ] = - \mathrm { \frac { i } { 2 } } \sum _ { \rho \in \Delta _ { + } } g _ { | \rho | } \thinspace { \frac { | \rho | ^ { 2 } \operatorname { c o s } ( \rho \cdot q ) } { \operatorname { s i n } ^ { 2 } ( \rho \cdot q ) } } \thinspace [ \mathrm { e } ^ { 2 \mathrm { i } q \cdot \hat { H } } , \hat { s } _ { \rho } ] .",799f625cf9.png
"l n d e t = \frac { | e \Phi | } { 2 \pi } \operatorname { l n } ( m a ) + R ( m ) ,",323c465216.png
"B ( 0 ) = B _ { \mathrm { f } } ( 0 ) + B _ { \mathrm { b } } ( 0 ) = 0 ,",226979ee71.png
"H \, { \cal U } = i { \frac { \partial } { \partial t } } \, { \cal U } \, ,",4d603c88f4.png
"\Sigma _ { \pm } ( q _ { 3 } , \left| { \bf q } \right| ) = - \frac { 1 } { 4 \pi } \operatorname { l n } \left[ \frac { 1 } { 2 m } \left( - \frac { 1 } { 2 } \delta \pm i q _ { 3 } + \frac { \left| { \bf q } \right| ^ { 2 } } { 2 m } \right) \right] \, + \, O \left( \frac { 1 } { m ^ { 2 } } \right) .",16a0874240.png
\frac { g _ { Y M } ^ { 2 } N } { J ^ { 3 } } \frac { J ^ { 4 } } { N ^ { 2 } } \frac { g ^ { 2 } N } { J ^ { 2 } },386bf9a37b.png
{ \cal L } _ { n } ( H _ { n } ) = ( - T _ { H _ { n } } \bar { R } _ { H _ { n } } ) \phi ^ { n } .,7352f31651.png
"{ \delta _ { \rho } } { \mathcal { F } _ { D } ^ { 1 } } = { \delta _ { \rho } } { \mathcal { F } _ { D } ^ { 0 } } - \alpha { Q } \oint { d } \hat { s } ( \xi ) \rho ( \xi ) { \partial _ { \hat { n } } } { \hat { G } _ { D } } ( \xi , \xi ^ { \prime } ) + ( { \alpha ^ { 2 } } - \alpha { Q } ) \rho ( \xi ^ { \prime } ) .",5d3a4f9d53.png
D \sum _ { I \neq J } ( - 1 ) ^ { p _ { I } p _ { J } } e _ { J I } \otimes e _ { I J } D ^ { - 1 } = \sum _ { I \neq J } e _ { J I } \otimes e _ { I J },252f1b9cea.png
"H ( t ) | n ; t > = E _ { n } ( t ) | n ; t > , ~ ~ < m ; t | n ; t > = \delta _ { m n }",4c475e1afd.png
"E _ { c } = \frac { 4 k l } { R } \left( k - \frac { r _ { + } ^ { 2 } } { l ^ { 2 } } \right) ,",131a79148f.png
"P \sim \operatorname { e x p } \left( - y _ { 0 } ^ { 3 } / M _ { p } ^ { 2 } \ell \right) ,",33fcdc8633.png
"\tilde { W } [ \eta | t ] = \int _ { \eta _ { 0 } } ^ { \eta ( t ) } \delta \eta ^ { ' \nu } ( t ) \, \tilde { E } _ { \nu } [ \eta ^ { \prime } | t ] ,",71feac6326.png
"\partial _ { z } \partial _ { \bar { z } } \theta = \{ n ( n + 1 ) \eta ^ { 2 } + a \} \theta \, , \quad a \in { \cal R } \, , \quad n = 0 , 1 , 2 , \ldots",1e8595e5e1.png
"C _ { 0 } ^ { o p } = g _ { o } ^ { - 2 } \frac { 1 } { \left( 2 \alpha ^ { ^ { \prime } } \right) ^ { d / 2 } } ,",3bf4f3ec2d.png
\alpha ^ { 2 } \partial _ { x ^ { - } } ^ { 3 } g _ { a } ( x ) = 0 ~ ; \alpha \neq 0,2581f66470.png
"Z ^ { i n t } ( s ) = \int { \cal D } A _ { \mu } ~ e ^ { - S _ { b o s } ( A ) - i \int d ^ { 3 } x ~ \varepsilon ^ { \mu \nu \rho } A _ { \mu } \partial _ { \nu } s _ { \rho } } ~ ,",3b1cebad19.png
\hat { \Gamma } _ { 0 } \ldots \hat { \Gamma } _ { ( 1 0 ) } = 1,395413c90f.png
"{ \cal L } = - V ( T ) \sqrt { - \operatorname* { d e t } ( g + F ) } { \cal F } ( z ) ,",3b82cc7aee.png
"\begin{array} { c } { \left\{ M _ { 1 } , M _ { 2 } \right\} = a M _ { 1 } M _ { 2 } - M _ { 1 } M _ { 2 } a , } \\ { a = \frac 1 2 \left( r - r ^ { * } \right) . } \\ \end{array}",7b00f012b2.png
"B ( T ) = - \; { \frac { b _ { 2 } ( V , T ) } { [ b _ { 1 } ( V , T ) ] ^ { 2 } } } \; ,",9bcc0bb538.png
{ \cal H } = { \cal H } _ { a } \otimes { \cal H } _ { A } \otimes { \cal H } _ { c } .,1be344a743.png
"H r ( \tau ) = \frac { k } { \sqrt { 1 + k ^ { 2 } } } \mid \mathrm { s n } [ \frac { \tau } { \sqrt { 1 + k ^ { 2 } } } , \; k ] \mid .",562c231867.png
\delta _ { \beta } \left( \alpha \right) = \alpha \wedge \beta = \alpha _ { a b } \cdot \beta _ { c d } \left( \chi ^ { a b } \otimes \chi ^ { c d } \right) A d _ { R },78ef714591.png
T \sim \frac { m } { L ^ { p } } \sim \frac { 1 } { g \ell _ { s } ^ { p + 1 } } .,173111e861.png
"{ \cal M } _ { b } ^ { u u } = \frac { i g ^ { 4 } } { 2 } [ T ^ { a } T ^ { b } \otimes T _ { a } T _ { b } ] \int \frac { d ^ { 2 } k } { ( 2 \pi ) ^ { 2 } } \left[ \frac { T ( k , p _ { 1 } ) T ^ { * } ( k , p _ { 3 } ) } { w _ { k } - w _ { p } } \right]",3ab0d7b424.png
\int _ { C } \frac { d \nu \: \nu } { i 4 \sqrt { 2 } \operatorname { s i n } \pi \nu } \left[ J _ { \nu } ( z _ { 1 } ) J _ { - \nu } ( z _ { 2 } ) + J _ { - \nu } ( z _ { 1 } ) J _ { \nu } ( z _ { 2 } ) \right] \; \; \; \; \; \; \; \; \; \; \; \; \; \; \; \; \; \; \; \; \;,11a8eea207.png
"\zeta _ { 0 } ( \nu ) = - { \frac { \nu \varrho ^ { - 2 \nu } } { \pi } } \int _ { \mu } ^ { \infty } d \omega \int _ { C _ { + } } d z { \frac { 2 z ^ { 2 } } { ( z ^ { 2 } + \omega ^ { 2 } ) ^ { \nu + 1 } } } \breve { \Psi } ( \omega ; z ) e ^ { i \epsilon z } ~ ~ ~ ,",738c6bc090.png
"\Psi = { C } \Psi ^ { \ast } \, .",478234cbe5.png
a _ { \alpha } W _ { i } Z _ { \alpha } ^ { I } Y _ { 0 } ^ { \alpha } + W Z _ { \alpha } ^ { I } Y _ { I } ^ { \alpha },1a882641b7.png
Q _ { A } + ( \gamma ^ { 6 } \gamma ^ { 7 } \gamma ^ { 8 } \gamma ^ { 9 } ) _ { A } ^ { B } \tilde { Q } _ { B } \nonumber,81ba9ce4a9.png
"W _ { ( 1 , 2 \ell , 1 ) } W _ { ( 1 , 1 , Z _ { 2 } ) } W _ { ( 1 , 2 \ell - 1 , 1 ) } W _ { ( 1 , 1 , Z _ { 2 } ) }",28a38729aa.png
"V ( z ) = A ^ { 2 } e ^ { - 2 \alpha z } - 2 A e ^ { - \alpha z } \ , \ A , \alpha > 0 \ .",1c2883bfac.png
\sigma _ { \pm } = \frac { \tau \pm \sigma } { 2 } \ .,3fdecf80a1.png
"k ^ { u } ( K _ { u v } ) _ { j } ^ { i } = \partial _ { v } P _ { j } ^ { i } + [ p _ { v } , P ] _ { j } ^ { i } ,",5f9a3eb396.png
"\rho _ { 0 } ( \theta ) = \frac { 1 } { \pi } \sqrt { \mu - \frac { 1 } { 4 } \mu ^ { 2 } \theta ^ { 2 } } ,",580036eb68.png
C _ { A B C } = \frac { 1 } { 2 4 \pi } \big ( A _ { [ A } ^ { i } \partial _ { B } A _ { C ] } ^ { i } + i \frac { 2 } { 3 } f ^ { i j k } A _ { [ A } ^ { i } A _ { B } ^ { j } A _ { C ] } ^ { k } \big ) .,6157449337.png
= g ^ { 2 } \left( \begin{array} { c c } { \delta _ { \mu \nu } \delta _ { A B } \delta ^ { 4 } ( x - y ) } & { 0 } \\ { 0 } & { \delta _ { A B } \delta ^ { 4 } ( x - y ) } \\ \end{array} \right),505cc30969.png
"\Psi , ~ ~ ~ \Phi , ~ ~ ~ \Pi , ~ ~ ~ \Xi , ~ ~ ~ { \cal A } _ { w } , ~ ~ ~ { \cal A } _ { \theta } , ~ ~ ~ { \cal A } , ~ ~ ~ \Delta , ~ ~ ~ \Delta ^ { * } .",a43fa630b7.png
C _ { N _ { P + 1 } + \dots + N _ { P + K } } ^ { N _ { P + 1 } } C _ { N _ { P + 2 } + \dots + N _ { P + K } } ^ { N _ { P + 2 } } \dots C _ { N _ { P + K - 1 } + N _ { P + K } } ^ { N _ { P + K - 1 } },36fbd5706b.png
"( N _ { c } + \tilde { N } _ { c } , \overline { { N _ { c } + \tilde { N } _ { c } } } ) ( 1 , 1 , 0 , \beta _ { i } ) , \ \ \ i = 1 , 2 , 3",70a6e5b4b9.png
"{ \cal D } = \sum _ { i , j } c _ { i , j } \, \frac { ( g ^ { 2 } N ) ^ { i } } { N ^ { 2 j } } ,",1420ac42ed.png
"{ \cal R } = { \cal R } _ { r } \operatorname { s i n } \eta , ~ ~ ~ \tau = { \cal R } _ { r } ( 1 - \operatorname { c o s } \eta ) .",1e1bbaef2b.png
"\left\{ \begin{array} { r c l } { \displaystyle \partial ^ { m } h _ { m } - \frac { 1 } { 2 } \dot { h } ^ { \prime } } & { = } & { 0 , \vspace { 2 m m } } \\ { \displaystyle \partial ^ { n } h _ { m n } - \frac { 1 } { 2 } \partial _ { m } h ^ { \prime } } & { = } & { 0 , \vspace { 2 m m } } \\ { \displaystyle \partial ^ { m } \theta _ { m } - \frac { 1 } { 2 } h ^ { \prime } } & { = } & { 0 . } \\ \end{array} \right.",347196fad5.png
| \{ m s s \} | = \sum _ { \nu = 0 } ^ { k } { \binom { k } { \nu } } = ( 1 + 1 ) ^ { k } = 2 ^ { k },7199fd1e3c.png
E _ { 4 s } = 2 ( Q + Q ^ { - 1 } ) + \xi _ { 1 } + \xi _ { 1 } ^ { - 1 } + \xi _ { 2 } + \xi _ { 2 } ^ { - 1 },4f6c0a6083.png
"\stackrel { \mathrm { G } } { { \mathcal L } } \, : = \frac { 1 } { 2 m } \left[ ( D _ { \alpha } \overline { { \Psi } } ) D ^ { \alpha } \Psi - m ^ { 2 } \overline { { \Psi } } \Psi \right] \, .",5c01b8b718.png
"p ( x ) = \prod _ { i = 1 } ^ { N + 1 } ( x + \nu _ { i } ) \, , \quad q ( x ) = p ( x ) - e ^ { i \theta } / r ^ { N + 1 } = \prod _ { i = 1 } ^ { N + 1 } ( x - x _ { i } ) \, ,",7893ca4e1b.png
"\tau _ { c l } = { \frac { \theta _ { 0 } } { 2 \pi } } + { \frac { 4 \pi i } { g _ { 0 } ^ { 2 } } } ,",54682978af.png
"i \frac { \partial } { \partial \tau _ { 2 } } < m ^ { \prime } , \bar { m ^ { \prime } } ; \tau _ { 2 } | m , \bar { m } ; \tau _ { 1 } > = \hat { H } ( m ^ { \prime } , \bar { m ^ { \prime } } ) < m ^ { \prime } , \bar { m ^ { \prime } } ; \tau _ { 2 } | m , \bar { m } ; \tau _ { 1 } > .",47b0771bd8.png
f = \frac { 1 } { 2 } \partial _ { \sigma } Z .,396bcb28c0.png
{ \cal L } _ { e f f } = { \cal L } ^ { ( 2 ) } + { \cal L } ^ { ( 4 ) } + { \cal L } ^ { ( 6 ) } + . . .,629c42b571.png
"{ \bf E } _ { \pm } ( \xi _ { \pm } ) = \mathrm { T } _ { \pm } ( \xi _ { \pm } ) { \bf E } _ { 0 } \mathrm { T } _ { \pm } ^ { \dagger } ( \xi _ { \pm } ) ,",3bd3e38c6c.png
"\psi ^ { \prime } ( t , x ) = e ^ { - i e \epsilon ( t , x ) } \psi ( t , x ) \ \ , \ \ A _ { \mu } ^ { \prime } ( t , x ) = A _ { \mu } ( t , x ) + \partial _ { \mu } \epsilon ( t , x ) \ ,",149b313ecf.png
\delta ( f ( x ) ) = \sum _ { i = 1 } ^ { n } \frac { 1 } { | f ^ { \prime } ( x _ { i } ) | } \delta ( x - x _ { i } ),e94fbdb3c3.png
"V _ { A } = T ^ { a } \int _ { 0 } ^ { T } d \tau \, \bigl [ \dot { x } _ { \mu } \varepsilon _ { \mu } - 2 \mathrm { i } \psi _ { \mu } \psi _ { \nu } k _ { \mu } \varepsilon _ { \nu } \bigr ] \mathrm { e x p } [ i k x ( { \tau } ) ]",234d3db18a.png
\Omega : u \rightarrow \ { S _ { \Omega } } \left( u \right) = { { \Omega } ^ { - 1 } } u .,742d89ddeb.png
- { \cal L } _ { \xi } J ^ { \mu \nu } = \hat { \xi } ^ { \lambda } \partial _ { \lambda } J ^ { \mu \nu } - \partial _ { \lambda } \hat { \xi } ^ { \mu } J ^ { \lambda \nu } - \partial _ { \lambda } \hat { \xi } ^ { \nu } J ^ { \mu \lambda },49ca0559c8.png
"| q ( x , \xi ) | = | \chi ( x , \xi ) a ( x , \xi ) ^ { - 1 } | \geq C _ { K } ( 1 + | \xi | ) ^ { - m } ,",19c9f9219d.png
S _ { m a t t e r } = 1 6 \pi \int d ^ { 4 } x \sqrt { - g } \; e ^ { 2 ( \sigma - 1 ) \psi } \; L _ { m a t t e r } .,30a0e5b27c.png
"H ^ { ( N ) } ( L , r , l | d , p ) = \sum _ { k = l + p } ^ { N } q ^ { - \sum _ { i = d } ^ { p - 1 } m _ { i } - e _ { d - 1 } C ^ { - 1 } m } B ^ { ( N ) } ( L , r , l + 1 | k ) .",3b4dd4f61d.png
"\sigma = 4 \pi g ^ { 2 } M ~ ~ \mathrm { a n d } ~ ~ \alpha ^ { - 1 } = - \frac { \pi g ^ { 2 } } { 2 M } ,",7f22efe073.png
"d _ { \mathrm { e l } } ^ { - 2 } = \rho _ { \mathrm { p o l } } / A _ { 0 } \sim g ^ { 2 } T a ^ { 2 - d } \, .",277fac3048.png
V ( \phi ) \ = \ < H _ { \mu \nu } ^ { 2 } > \cdot ( 1 - [ \rho ^ { 2 } + \sigma ^ { 2 } ] ) ^ { 2 } \ \sim \ \lambda ( 1 - | \phi | ^ { 2 } ) ^ { 2 },f1c1b75b1b.png
